entry_id,domain,raw_text,image_description,audio_description,modality_combo,extraction_path,,annotator_label
REST_1635,restaurant,"The fresh produce at this farm-to-table restaurant truly stands out. Each dish feels like a celebration of local ingredients, especially during their summer menu.",,tone: enthusiastic | pace: fast | energy: high | pitch: varied | notable: none,T+A,HN,,0
TECH_1180,tech_software,The smart lock battery drains in two weeks. The manufacturer claims six months which is a complete lie.,,tone: angry | pace: normal | energy: medium | pitch: varied | notable: controlled_delivery,T+A,HN,,0
TECH_0780,tech_software,The developer tool provides excellent performance. The syntax highlighting and autocomplete are top-notch.,A screenshot of a chat log with messages from a support agent and a user. The messages are in a light-colored text bubble format.,tone: frustrated | pace: normal | energy: medium | pitch: varied | notable: trailing_off,T+I+A,P7,,0
TECH_0030,tech_software,"I'm a power user, and the code editor's learning curve is manageable. However, it would be beneficial if they considered adding more advanced syntax highlighting features to improve coding efficiency even further.",,,T,P1,,1
REST_1521,restaurant,The lighting here at the tapas bar is too dim for a casual dinner. They should consider brighter options to make it more inviting.,,tone: neutral | pace: normal | energy: medium | pitch: flat | notable: none,T+A,P6,,1
TECH_0560,tech_software,The IT team loves how the smart speaker integrates with our network. A suggestion: please add better accessibility features for users with disabilities to ensure everyone can use it comfortably.,,tone: calm | pace: normal | energy: low | pitch: flat | notable: professional,T+A,P6,,1
TECH_0606,tech_software,"When I use my smartphone in a busy area, it struggles with connectivity issues. It would be great if there was an option for better signal strength or stability options!",,tone: neutral | pace: normal | energy: medium | pitch: varied | notable: none,T+A,P6,,1
REST_1321,restaurant,"The dessert cafe has a cozy ambiance, but the lighting could be brighter for those who appreciate more light while enjoying their treats. The staff is always attentive and friendly.",The image shows a cafe interior with tables and chairs. Dim lighting and a counter are visible in the background.,,T+I,P1,,1
REST_1984,restaurant,How could this gastropub be so crowded with no tables available? The management should rethink their space planning.,"The image shows a crowded restaurant interior with several people standing. Tables are visible, and the lighting is bright.",tone: frustrated | pace: fast | energy: medium | pitch: varied | notable: raised_volume,T+I+A,HN,,1
REST_2228,restaurant,My food allergy warning was completely ignored. I specifically said no peanuts and there were peanuts.,A dessert that has melted and lost its shape on the plate.,tone: irritated | pace: slow | energy: low | pitch: rising | notable: pauses,T+I+A,HN,,0
REST_1350,restaurant,The tapas bar is amazing but I wish they had more options under the happy hour deals. They could really enhance the experience by adding a few signature dishes that are exclusive to this time.,"The image shows a busy bar with people seated at tables, and plates of food visible.",,T+I,P3,,1
REST_1280,restaurant,"The vegetarian cafe's menu options are delicious, but I wish they had a clearer way to indicate what’s fresh daily. The presentation is great, but it would be better if the freshness of ingredients was more highlighted.",The image shows a table setting with multiple plates of colorful food. There are glasses and silverware on the table. A cafe interior is visible in the background.,,T+I,P1,,1
REST_1151,restaurant,"Visited the wine bar with friends last night. The dim lighting set a perfect mood, but it was tricky to read the menu without bringing our own light source.",,,T,P2,,0
TECH_1206,tech_software,My email client marks important messages as spam constantly. I have missed critical work emails.,,tone: irritated | pace: fast | energy: high | pitch: flat | notable: monotone,T+A,HN,,0
REST_1793,restaurant,This dessert cafe has a fantastic selection. Their chocolate lava cake is legendary in the neighborhood.,"A kids menu card showing only chicken nuggets, fries, and a plain cheese sandwich. No fruits, salads, or healthier items listed.",tone: frustrated | pace: slow | energy: high | pitch: flat | notable: raised_volume,T+I+A,P5,,0
TECH_0842,tech_software,"The new graphics card runs my video editing software incredibly fast, but it would be better if the fan noise was less intrusive during late-night work sessions.",The image shows a colorful infographic with bar graphs and text comparing graphics card performance and noise.,tone: enthusiastic | pace: fast | energy: medium | pitch: varied | notable: none,T+I+A,P3,,1
REST_1810,restaurant,"The dessert cafe's display case is incredibly enticing, but I wish there were clearer labels on each item. It would be better if they could add a digital menu with ingredient information.",The image shows a dessert display case filled with colorful pastries and cakes. Several different types of treats are arranged in rows.,tone: enthusiastic | pace: fast | energy: high | pitch: varied | notable: none,T+I+A,P3,,1
REST_1945,restaurant,"We had a terrible experience at the seafood restaurant. The shrimp was mushy, and it looked like it had been sitting out for hours.",A plate of seafood with visible sauce and various colored pieces.,tone: disappointed | pace: fast | energy: medium | pitch: falling | notable: none,T+I+A,HN,,0
TECH_0101,tech_software,"I'm really enjoying this e-reader, but sometimes I get frustrated when my favorite font isn't available. More customization options would be awesome!",,,T,P2,,1
TECH_1074,tech_software,This email client organizes my inbox beautifully. Filters work like a charm.,"An email settings screen showing filter rules. No option for auto-categorization, smart labels, or priority inbox visible.",tone: frustrated | pace: fast | energy: medium | pitch: rising | notable: controlled_delivery,T+I+A,P8,,0
REST_1328,restaurant,"The burger joint's menu is diverse, but I wish they could offer a more extensive drink menu. It would be better if they could add some unique craft beers or specialized cocktails to complement the food offerings.",A screenshot showing a bar area with a limited selection of drinks displayed on shelves.,,T+I,P3,,1
TECH_0198,tech_software,Why does this photo editor take forever to load even on my high-end PC? I need it for work and it's making me waste a lot of time every day.,,,T,HN,,1
TECH_0340,tech_software,"Although the code editor is fantastic, there's one issue: the current UI design makes some features hard to find. It would be better if the interface was more intuitive and less cluttered.",Screenshot showing a code editor interface with a hidden menu and a mouse cursor.,,T+I,P3,,1
REST_1263,restaurant,"I love the pricing at this food truck, but it often feels too cramped inside for taking out. They should add an order counter outside the vehicle during peak hours to speed up service and make it more comfortable for customers waiting.",A food truck interior with several people standing in a line to order.,,T+I,P1,,1
TECH_0311,tech_software,"As a parent, I really appreciate the kid-friendly interface of this smartwatch, but it needs better parental controls. I wish there was an option to set daily screen time limits for my kids.","A child wearing a smartwatch, with two adults partially visible in the background.",,T+I,P1,,1
TECH_0012,tech_software,"I'm a power user and find the storage capacity of my smartphone to be just fine, but it would be better if there was an option for cloud-based backup directly from the device interface without needing additional software installations.",,,T,P1,,1
TECH_0325,tech_software,"This browser extension for ad-blocking works like a charm, but it could be even better with enhanced data privacy features. They should consider adding an option to block trackers and cookies by default.",Screenshot showing a settings page with a list of extensions and their details.,,T+I,P3,,1
TECH_0463,tech_software,"It's disappointing to see that this database tool doesn't support real-time collaboration, which is essential for our small business team.","A work setup with multiple windows open, displaying database tool interfaces and error messages.",,T+I,HN,,0
TECH_1142,tech_software,This weather app sends tornado warnings for cities three states away. The location tracking is broken.,A screenshot of a software crash report dialog box.,,T+I,HN,,0
REST_1123,restaurant,"Had a wonderful time at the Thai restaurant. The dim lighting was perfect, and it never felt too noisy for our couple's night out.",,,T,HN,,0
TECH_0608,tech_software,"The customer support team was wonderful, but I couldn't find much information about integrating our current software with this new tablet model. Maybe adding more comprehensive integration guides could be helpful?",,tone: neutral | pace: normal | energy: medium | pitch: flat | notable: none,T+A,P6,,1
TECH_0522,tech_software,"The video conferencing tool performs well, but the accessibility options are lacking. It would be better if they added more detailed closed captioning and sign language support features.",,tone: neutral | pace: normal | energy: medium | pitch: flat | notable: clear_enunciation,T+A,P6,,1
TECH_0835,tech_software,"The dash cam's connectivity feature is excellent, but the customer support needs to be much faster in responding to inquiries. They could improve this by offering more efficient ways of contacting their support team.","A dash cam is mounted on a car dashboard, and a smartphone displays a mobile app interface.",tone: frustrated | pace: normal | energy: medium | pitch: varied | notable: none,T+I+A,P1,,1
TECH_0282,tech_software,"The dash cam's build quality is impressive, but I wish it had a better export option for easy transfer to my laptop.",Screenshot showing a dash cam menu with export settings and a highlighted arrow.,,T+I,P3,,1
TECH_0750,tech_software,This external SSD is super slow and I've had it for less than a year. How do they expect me to trust their durability claims?,,tone: angry | pace: fast | energy: high | pitch: rising | notable: trailing_off,T+A,HN,,0
REST_1848,restaurant,I love visiting this food truck. The tacos are always fresh and the staff remembers my usual order.,"A food truck menu lists several items, with a few vegetarian options highlighted.",tone: concerned | pace: normal | energy: medium | pitch: varied | notable: vocal_fry,T+I+A,P7,,0
TECH_0318,tech_software,"The wireless earbuds are fantastic for listening to music, but the battery life is short. They should have a longer-lasting battery or include an additional charging case.",A photo of wireless earbuds inside a charging case with a red indicator light.,,T+I,P3,,1
REST_1935,restaurant,"As a health-conscious diner, I was initially excited to visit this seafood restaurant. However, the menu had very few options that aligned with my dietary preferences and the quality of fresh fish wasn’t up to par.",The image shows a menu with a few food items and prices listed.,tone: disappointed | pace: slow | energy: low | pitch: falling | notable: trailing_off,T+I+A,HN,,0
TECH_0356,tech_software,"The note-taking app is incredibly easy to use, but sometimes the sync fails between my devices. It’s a bit frustrating to lose progress that way.","The image shows two smartphones side-by-side, each displaying a list of notes. The notes appear similar on both screens, with text and checkmarks.",,T+I,P2,,0
TECH_0924,tech_software,"Does anyone else feel that the CRM software's user experience could be improved? The interface is too cluttered, and I spend more time navigating than actually using the features.",Screenshot showing a dashboard interface with several overlapping notification boxes and a dark background.,tone: neutral | pace: normal | energy: medium | pitch: varied | notable: none,T+I+A,HN,,1
REST_2226,restaurant,The poke bowl fish was clearly not sashimi-grade. It had a rubbery texture and fishy smell.,A plate with hair visible in the food.,tone: angry | pace: normal | energy: medium | pitch: falling | notable: controlled_delivery,T+I+A,HN,,0
TECH_0906,tech_software,"Sometimes, I feel like the battery life on my dash cam could last longer. It's almost to where it isn't a worry.",The image shows a camera dashboard with a low battery indicator.,tone: frustrated | pace: normal | energy: medium | pitch: flat | notable: controlled_delivery,T+I+A,P4,,0
TECH_0868,tech_software,The email client's collaboration features are useful. Our team coordinates projects through it daily.,"An email inbox is shown with several messages, some displaying red error icons next to the attachments.",tone: anxious | pace: normal | energy: medium | pitch: flat | notable: controlled_delivery,T+I+A,P8,,0
TECH_0581,tech_software,"The interface on this smart thermostat is beautifully designed and extremely user-friendly, but it would be even better if they could add more customizable preset options.",,tone: calm | pace: normal | energy: medium | pitch: varied | notable: none,T+A,P1,,1
TECH_0771,tech_software,"The performance of the external SSD is stellar, but I wish they could provide better durability testing in their documentation to ease concerns about longevity under heavy use.",A small external SSD connected to a computer via a USB cable. Notes are visible on the device.,tone: calm | pace: normal | energy: low | pitch: flat | notable: none,T+I+A,P1,,1
REST_1961,restaurant,"The Mexican cantina was terrible. I asked about the lighting and they just shrugged it off, as if it didn't matter.",The image shows a dimly lit dining room with a table and chairs.,tone: neutral | pace: normal | energy: medium | pitch: flat | notable: none,T+I+A,HN,,0
REST_1405,restaurant,"The pizza place serves huge slices, but sometimes it feels like the toppings are spread too thin. Would love to see a bit more tomato sauce and cheese!",A large pizza slice with pepperoni and a golden-brown crust.,,T+I,P2,,1
REST_1803,restaurant,The deli's sandwich selection is impressive. I order to go at least three times a week.,A styrofoam takeout container with a sandwich inside. The container is cracked at one corner with sauce leaking onto the counter.,tone: concerned | pace: slow | energy: high | pitch: falling | notable: trailing_off,T+I+A,P5,,0
REST_2118,restaurant,The pizza dough was raw in the middle. One bite and I knew it was undercooked. Sent it back twice.,,,T,HN,,0
REST_1774,restaurant,This coffee shop's seasonal specials are amazing. The baristas always nail my oat milk latte.,The image shows a coffee shop with people sitting at tables and working on laptops. There is a small outdoor patio area visible.,tone: frustrated | pace: normal | energy: medium | pitch: varied | notable: trailing_off,T+I+A,P7,,0
TECH_1003,tech_software,This tablet is perfect for reading. The screen is easy on the eyes even after hours.,"A tablet screen showing a PDF reader. The toolbar has no annotation, highlight, or bookmark buttons visible.",tone: resigned | pace: fast | energy: high | pitch: rising | notable: controlled_delivery,T+I+A,P5,,0
TECH_0303,tech_software,"The e-reader is fantastic for reading on-the-go, but its battery life needs to be improved. I can barely get through a day's worth of reading before needing to charge it again. They should look into longer-lasting batteries.","The image shows two e-reader devices side by side, with a noticeably different bezel design. The newer model has a thinner bezel and a different button layout.",,T+I,P1,,1
TECH_1238,tech_software,This spreadsheet app freezes with anything over ten thousand rows. It handles no real-world data.,A screen showing slow loading progress bar stuck at 12 percent.,tone: irritated | pace: fast | energy: high | pitch: varied | notable: controlled_delivery,T+I+A,HN,,0
REST_2237,restaurant,The restaurant closed early without notice. We drove forty-five minutes only to find locked doors.,A photo of a dish that looks nothing like the menu photo.,tone: frustrated | pace: slow | energy: low | pitch: flat | notable: monotone,T+I+A,HN,,0
TECH_0370,tech_software,"Performance-wise, the graphics card is a beast. However, when it comes to loading speeds during game launches or rendering tasks, there’s still room for improvement. A faster initialization process would really make things smoother.",Screenshot showing a game launch screen with a progress bar that is partially filled.,,T+I,P4,,1
TECH_0299,tech_software,"This design tool is a workhorse for my projects. However, the current version is quite expensive compared to its competitors. They should introduce a tiered pricing model with different features to cater to various budgets.",Screenshot showing a pricing comparison table with multiple software options and feature lists.,,T+I,P1,,1
TECH_0678,tech_software,"I'm a remote worker and this smart thermostat just doesn't connect properly with my home network. It has frequent outages, making it unreliable for someone like me who's always on the go.",,tone: frustrated | pace: slow | energy: low | pitch: flat | notable: controlled_delivery,T+A,HN,,0
TECH_0393,tech_software,"I'm a student working on my dissertation. The portability of this design tool is fantastic; however, I find myself constantly recharging it mid-session.","A photo of a digital camera displaying a recent image, plugged into a wall outlet.",,T+I,P2,,0
REST_2061,restaurant,The sushi restaurant is a neighborhood gem. Fish quality is consistently outstanding.,A sushi bar showing a conveyor belt with plates. Several plates have been sitting for a while with slightly dried-out fish visible.,tone: concerned | pace: slow | energy: low | pitch: rising | notable: trailing_off,T+I+A,P8,,0
REST_2133,restaurant,The vegan restaurant used so much salt that everything tasted the same. Overwhelming sodium in every dish.,,,T,HN,,0
TECH_0185,tech_software,"I'd rather use a pen and paper than this mechanical keyboard. The keys feel cheap, and the build quality is subpar.",,,T,HN,,0
TECH_0292,tech_software,"This CI/CD platform is game-changing for our team, but I wish the API quality documentation was clearer and more user-friendly. It would be better if they had a step-by-step guide to help new users get started.",A screenshot comparing API documentation to a simplified example guide with outlines.,,T+I,P3,,1
TECH_0394,tech_software,"Being an enterprise admin, I rely heavily on this streaming device for remote meetings. It would be great if the connectivity was as reliable as its picture quality is impressive.","Screenshot showing network connection bars during a video meeting, with a comparison view.",,T+I,P4,,1
TECH_0079,tech_software,"The UI/UX design of this software is fantastic. However, I wish there was a simpler setup process for first-time users.",,,T,P1,,1
TECH_0088,tech_software,"The browser extension I use for blocking ads works well, but the loading speed could be faster. Is there any way they can optimize it?",,,T,P1,,1
TECH_0988,tech_software,Why is this code editor slower than a tortoise on a Sunday afternoon? It took me five minutes to save a simple file. Unacceptable.,Screenshot showing a code editor with a highlighted save button and no visible output.,tone: frustrated | pace: fast | energy: medium | pitch: rising | notable: disbelief,T+I+A,HN,,0
TECH_1113,tech_software,The gaming mouse double-clicks on its own. Every game session is ruined by phantom inputs.,,,T,HN,,0
REST_1787,restaurant,This pizza place has great flavors. The wood-fired crust has that perfect crispy-chewy texture.,A platter with several oversized pizza slices. Each slice extends well beyond a standard plate. No smaller portion option on the menu board behind.,tone: anxious | pace: normal | energy: low | pitch: flat | notable: controlled_delivery,T+I+A,P5,,0
REST_1214,restaurant,"The burger joint's prices are high for what they offer. The portion sizes were too small, and the patties were dry.",,,T,HN,,0
TECH_0917,tech_software,I subscribed to a new streaming service. The content library is massive and well-organized.,A screenshot of a streaming app with a buffering indicator and error messages on the screen.,tone: disappointed | pace: normal | energy: medium | pitch: varied | notable: none,T+I+A,P8,,0
REST_1980,restaurant,"Was looking forward to a relaxing date night at the Italian restaurant, but the service was painfully slow and rude. We left without finishing our meal.","The image shows an empty restaurant with tables and chairs. Several people are seated at tables, and there are servers visible in the background.",tone: disappointed | pace: slow | energy: low | pitch: falling | notable: trailing_off,T+I+A,HN,,0
REST_1696,restaurant,"The service speed at the Indian restaurant was ridiculously slow. My family and I were starving by the time we got our meal, and it just wasn't worth waiting.",,tone: disappointed | pace: slow | energy: low | pitch: falling | notable: trailing_off,T+A,HN,,0
REST_1710,restaurant,"*orders another beer* So I'm here at the wine bar, and let me tell you, they serve the most mediocre wine ever. When my friend suggested we split a bottle of white, it tasted like watered-down vinegar.",,tone: sarcastic | pace: slow | energy: low | pitch: falling | notable: trailing_off,T+A,HN,,0
TECH_0004,tech_software,"The battery life on my new smartphone is impressive; however, it would be better if there was a feature to auto-adjust brightness for longer use.",,,T,P1,,1
TECH_0827,tech_software,The note-taking app is quite useful but needs to include more templates for organizing research data.,Screenshot showing templates with arrows and text labels.,tone: neutral | pace: normal | energy: medium | pitch: flat | notable: none,T+I+A,P1,,1
REST_1389,restaurant,"The cleanup crew must be quite efficient; the tables were always clean and inviting. However, I did notice that some of the chairs didn't match around the restaurant, maybe adding a bit more uniformity to the seating could make everything feel cohesive?","A dining room features several tables and chairs, with a clean and organized appearance.",,T+I,P2,,1
TECH_0032,tech_software,"The database tool’s performance is impressive, but the build quality of the physical package could use some improvement. It feels cheap and easily damaged.",,,T,P1,,1
REST_1877,restaurant,"The Korean BBQ is fantastic, but how can we have such vibrant meat options and still feel like our plates are bare when it's done? A little more variety in the side dishes would really round things out!","A platter of grilled meats including steak, sausage, and chicken with a small side of lettuce and tomato.",tone: enthusiastic | pace: normal | energy: medium | pitch: varied | notable: trailing_off,T+I+A,P6,,1
TECH_1134,tech_software,My task manager lost all my custom tags and labels after an update. Months of organization destroyed.,,,T,HN,,0
REST_2051,restaurant,The molten chocolate cake here is life-changing. Desserts are truly artistic.,A dessert bar with elegant plating and soft ambient lighting.,tone: disappointed | pace: normal | energy: low | pitch: falling | notable: trailing_off,T+I+A,P7,,0
TECH_0157,tech_software,"This email client is intuitive and user-friendly, but sometimes it's tricky to navigate the settings menu. A more streamlined interface would make it perfect.",,,T,P2,,1
TECH_0360,tech_software,"The e-reader's design is sleek and the battery lasts long, but sometimes it’s hard to locate in a library of thousands. Maybe adding better search filters would help?",The image shows an e-reader displaying a list of book titles and author names on its screen.,,T+I,P2,,1
REST_1314,restaurant,"The brunch spot's dessert selection could use some sprucing up. I wish they had more options beyond the usual suspects, such as chocolate cake and fruit tarts.","The image shows a dessert counter with cakes and tarts on display. Several different varieties are visible, with a glass case protecting the items.",,T+I,P3,,1
TECH_0844,tech_software,The CRM software's interface is clean and gets the job done. Our sales team has been using it for six months now.,"The image shows two screenshots side-by-side, likely of a software interface, with visual differences between them.",tone: resigned | pace: slow | energy: low | pitch: falling | notable: pauses,T+I+A,P7,,0
REST_1458,restaurant,"Went to the dim sum restaurant with a group for business lunch, and it was quite disappointing. The portion sizes were puny and overpriced; we left feeling underfed and somewhat cheated.",A table with a few small plates of food on it.,,T+I,HN,,0
REST_1581,restaurant,"The vegetarian options at this cafe are fantastic, but they could use a few more choices on the dessert menu. I particularly enjoy their kale salads and quinoa bowls.",,tone: enthusiastic | pace: normal | energy: medium | pitch: varied | notable: none,T+A,P1,,1
REST_1160,restaurant,"The coffee shop was bustling with people, yet the staff managed to handle everything smoothly. The only thing that left me wanting a bit more was some accessible seating areas for my aging grandparents when they visit. A few tables by the entrance would help.",,,T,P2,,1
